location,date,hour,wind speed
  225,20190209,   15,  150
  225,20190209,   16,  130
  225,20190209,   17,  140
  225,20190209,   18,  130
  225,20190209,   19,  130
  225,20190209,   20,  130
  225,20190209,   21,  140
  225,20190209,   22,  140
  225,20190209,   23,  120
  225,20190209,   24,  110
  225,20190210,    1,   90
  225,20190210,    2,   70
  225,20190210,    3,   70
  225,20190210,    4,   50
  225,20190210,    5,   40
  225,20190210,    6,   50
  225,20190210,    7,   50
  225,20190210,    8,   50
  225,20190210,    9,   30
  225,20190210,   10,   40
  225,20190210,   11,   60
  225,20190210,   12,   60
  225,20190210,   13,   60
  225,20190210,   14,   50
  225,20190210,   15,   40
  225,20190210,   16,   60
  225,20190210,   17,   80
  225,20190210,   18,  120
  225,20190210,   19,  150
  225,20190210,   20,  130
  225,20190210,   21,  120
  225,20190210,   22,  120
  225,20190210,   23,  100
  225,20190210,   24,  110
  225,20190211,    1,  110
  225,20190211,    2,  120
  225,20190211,    3,  110
  225,20190211,    4,  100
  225,20190211,    5,  100
  225,20190211,    6,  100
  225,20190211,    7,  100
  225,20190211,    8,   90
  225,20190211,    9,  100
  225,20190211,   10,   90
  225,20190211,   11,   70
  225,20190211,   12,   80
  225,20190211,   13,   80
  225,20190211,   14,   70
  225,20190211,   15,   70
  225,20190211,   16,   80
  225,20190211,   17,   70
  225,20190211,   18,   50
  225,20190211,   19,   50
  225,20190211,   20,   50
  225,20190211,   21,   60
  225,20190211,   22,   70
  225,20190211,   23,   60
  225,20190211,   24,   60
  225,20190212,    1,   60
  225,20190212,    2,   60
  225,20190212,    3,   60
  225,20190212,    4,   50
  225,20190212,    5,   50
  225,20190212,    6,   60
  225,20190212,    7,   70
  225,20190212,    8,   70
  225,20190212,    9,   70
  225,20190212,   10,   70
  225,20190212,   11,   80
  225,20190212,   12,   80
  225,20190212,   13,   90
  225,20190212,   14,   80
  225,20190212,   15,   90
  225,20190212,   16,   90
  225,20190212,   17,  100
  225,20190212,   18,   90
  225,20190212,   19,  100
  225,20190212,   20,  110
  225,20190212,   21,  110
  225,20190212,   22,  100
  225,20190212,   23,   90
  225,20190212,   24,   90
  225,20190213,    1,   90
  225,20190213,    2,   90
  225,20190213,    3,  100
  225,20190213,    4,  100
  225,20190213,    5,   90
  225,20190213,    6,   80
  225,20190213,    7,   80
  225,20190213,    8,   80
  225,20190213,    9,   90
  225,20190213,   10,   90
  225,20190213,   11,   80
  225,20190213,   12,   80
  225,20190213,   13,   90
  225,20190213,   14,   90
  225,20190213,   15,   80
  225,20190213,   16,   80
  225,20190213,   17,   70
  225,20190213,   18,   80
  225,20190213,   19,   70
  225,20190213,   20,   70
  225,20190213,   21,   60
  225,20190213,   22,   70
  225,20190213,   23,   80
  225,20190213,   24,   70
  225,20190214,    1,   70
  225,20190214,    2,   60
  225,20190214,    3,   70
  225,20190214,    4,   60
  225,20190214,    5,   50
  225,20190214,    6,   40
  225,20190214,    7,   50
  225,20190214,    8,   40
  225,20190214,    9,   40
  225,20190214,   10,   50
  225,20190214,   11,   50
  225,20190214,   12,   30
  225,20190214,   13,   30
  225,20190214,   14,   20
  225,20190214,   15,   20
  225,20190214,   16,   10
